  _elev,_surf |   ailrn,_surf |   ruddr,_surf |   nwhel,steer |   pitch,__deg |   _roll,__deg |   hding,_true |   hding,__mag | 
       -1.00000 |       1.00000 |       0.00436 |       0.00000 |      26.46088 |       1.42215 |      65.04887 |      53.71711 |
        1.00000 |       1.00000 |       0.00568 |       0.00000 |      25.04530 |       2.05485 |      65.00608 |      53.67433 |
        1.00000 |      -0.99200 |       0.00723 |       0.00000 |      24.87295 |       3.67374 |      64.92764 |      53.59589 |
       -1.00000 |      -0.99200 |       0.00611 |       0.00000 |      25.88666 |       2.87147 |      64.91305 |      53.58131 |
       -1.00000 |       1.00000 |       0.00421 |       0.00000 |      25.99956 |       1.13243 |      64.92429 |      53.59255 |
        0.96622 |       1.00000 |       0.00483 |       0.00000 |      25.28753 |       1.72491 |      64.93178 |      53.60004 |
        1.00000 |      -0.99200 |       0.00602 |       0.00000 |      25.55692 |       3.27077 |      64.92316 |      53.59142 |
       -1.00000 |      -0.99200 |       0.00425 |       0.00000 |      26.76408 |       2.49129 |      64.98277 |      53.65105 |
       -1.00000 |       1.00000 |       0.00171 |       0.00000 |      26.91978 |       0.93861 |      65.09700 |      53.76527 |
       -0.27519 |       1.00000 |       0.00224 |       0.00000 |      26.07469 |       1.65638 |      65.21473 |      53.88301 |
        1.00000 |      -0.99200 |       0.00396 |       0.00000 |      25.11577 |       3.09737 |      65.24931 |      53.91759 |
        1.00000 |      -0.99200 |       0.00362 |       0.00000 |      25.36541 |       2.28382 |      65.30695 |      53.97524 |
       -1.00000 |       1.00000 |       0.00075 |       0.00000 |      26.43387 |       0.87935 |      65.47245 |      54.14074 |
       -1.00000 |       1.00000 |       0.00055 |       0.00000 |      26.50479 |       1.58901 |      65.66817 |      54.33646 |
       -0.14935 |      -0.99200 |       0.00232 |       0.00000 |      25.64354 |       2.99029 |      65.77738 |      54.44568 |
        1.00000 |      -0.99200 |       0.00331 |       0.00000 |      24.72118 |       2.40347 |      65.81182 |      54.48012 |
        1.00000 |       1.00000 |       0.00222 |       0.00000 |      24.90893 |       0.90445 |      65.91163 |      54.57993 |
       -1.00000 |       1.00000 |       0.00154 |       0.00000 |      25.90582 |       1.51652 |      66.08199 |      54.75029 |
       -1.00000 |      -0.99200 |       0.00282 |       0.00000 |      25.93174 |       2.87605 |      66.20927 |      54.87757 |
        0.97001 |      -0.99200 |       0.00340 |       0.00000 |      25.18207 |       2.25372 |      66.24567 |      54.91399 |
        1.00000 |       1.00000 |       0.00212 |       0.00000 |      25.27250 |       0.99439 |      66.34151 |      55.00982 |
       -1.00000 |       1.00000 |       0.00145 |       0.00000 |      26.03942 |       1.66142 |      66.51466 |      55.18298 |
       -1.00000 |      -0.99200 |       0.00279 |       0.00000 |      25.86961 |       2.95234 |      66.63433 |      55.30265 |
        1.00000 |      -0.99200 |       0.00359 |       0.00000 |      24.85470 |       2.27819 |      66.65604 |      55.32437 |
