
  _elev,_surf |   ailrn,_surf |   ruddr,_surf |   nwhel,steer |   pitch,__deg |   _roll,__deg |   hding,_true |   hding,__mag | 
     -0.26879 |       0.00680 |       0.00506 |       0.00000 |      -2.40892 |       1.01077 |     214.07426 |     202.73880 | 
     -0.27045 |       0.00698 |       0.00499 |       0.00000 |      -2.39083 |       0.99705 |     214.07376 |     202.73830 | 
     -0.27179 |       0.00713 |       0.00490 |       0.00000 |      -2.37278 |       0.98293 |     214.07658 |     202.74112 | 
     -0.27324 |       0.00716 |       0.00480 |       0.00000 |      -2.35680 |       0.97044 |     214.08302 |     202.74756 | 
     -0.27455 |       0.00717 |       0.00470 |       0.00000 |      -2.34061 |       0.95802 |     214.09367 |     202.75821 | 
     -0.27582 |       0.00726 |       0.00460 |       0.00000 |      -2.32321 |       0.94526 |     214.10930 |     202.77383 | 
     -0.27706 |       0.00720 |       0.00454 |       0.00000 |      -2.30748 |       0.93445 |     214.12631 |     202.79085 | 
     -0.27856 |       0.00719 |       0.00449 |       0.00000 |      -2.29068 |       0.92348 |     214.14622 |     202.81076 | 
     -0.27989 |       0.00712 |       0.00448 |       0.00000 |      -2.27509 |       0.91354 |     214.16577 |     202.83031 | 
     -0.28119 |       0.00700 |       0.00449 |       0.00000 |      -2.25891 |       0.90275 |     214.18716 |     202.85170 | 
     -0.28233 |       0.00688 |       0.00452 |       0.00000 |      -2.24400 |       0.89149 |     214.20816 |     202.86130 |
